;x;y;imb_id;num_voie;cp_no_voie;type_voie;nom_voie;batiment;code_insee;code_poste;nom_com;catg_loc_imb;imb_etat;pm_ref;pm_etat;code_l331;geom_mod;type_imb;date_completude;date_completude_manquante;error;error_type
14;55.2979299898672;-21.115549333698;974230028J-57;57;;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;False;
15;55.2978230829882;-21.1156385853375;974230028J-59;59;;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;False;
16;55.2996691519675;-21.1141396497816;974230028J-7;7;;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;False;
17;55.2969518637291;-21.1160904913267;974230028J-70;70;;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;False;
18;55.2975529524327;-21.1157171644986;974230028J-71;71;;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;False;
19;55.2973680301956;-21.1158417621854;974230028J-71A;71;A;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;False;
20;55.2979131011519;-21.1153685129743;974230028J-73;73;;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;False;
21;55.2977660535059;-21.1155747845655;974230028J-75;75;;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;False;
22;55.2976790067366;-21.1156371379587;974230028J-75A;75;A;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;False;
23;55.2977368689626;-21.1156015890402;974230028J-75B;75;B;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;False;
24;55.2972229145008;-21.1159577271268;974230028J-77;77;;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;False;
25;55.2967408576334;-21.1159438496232;974230028J-83;83;;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;False;
26;55.2977009030927;-21.1145353864028;974230028J-85;85;;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;False;
